"","latitude","longitude","V1","V2","V3","V4","V5","V6","V7","V8"
"1",47.4,0.683333,1e-05,0.888993,1e-05,1.4e-05,0.101286,1e-05,0.009667,1e-05
"2",48.5167,-4.06667,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"3",48.5167,-4.06667,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"4",47.35,3.93333,1e-05,0.71695,1e-05,1e-05,0.28299,1e-05,1e-05,1e-05
"5",44.65,-1.16667,0.351254,0.437114,1e-05,0.130215,1e-05,0.008499,0.072888,1e-05
"6",46.6667,4.11667,1e-05,0.670174,0.093524,1e-05,0.219522,0.016741,1e-05,1e-05
"7",46.6667,4.11667,1e-05,0.78047,0.032335,1e-05,0.187146,1e-05,1e-05,1e-05
"8",49.3667,16.2667,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05
"9",49.4211,16.3497,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05
"10",49.4112,16.2815,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05
"11",49.403,16.232,1e-05,1e-05,1e-05,1e-05,0.98112,1e-05,1e-05,0.01882
"12",47,15.5,0.018648,1e-05,1e-05,1e-05,0.981292,1e-05,1e-05,1e-05
"13",40.8313,-87.735,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05
"14",40.8313,-87.735,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05
"15",40.8313,-87.735,1e-05,1e-05,1.1e-05,1e-05,1e-05,0.999929,1e-05,1e-05
"16",40.8313,-87.735,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05
"17",40.8313,-87.735,1.2e-05,1e-05,1e-05,1e-05,1e-05,0.999928,1e-05,1e-05
"18",40.8313,-87.735,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05
"19",40.9076,-73.2089,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05
"20",40.9076,-73.2089,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05
"21",40.7777,-72.9069,0.152519,0.756452,1e-05,0.042957,1e-05,0.048032,1e-05,1e-05
"22",40.7777,-72.9069,0.128441,0.861473,1e-05,1e-05,1e-05,0.010036,1e-05,1e-05
"23",40.9447,-72.8615,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05
"24",40.9447,-72.8615,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05
"25",40.9064,-73.1493,1e-05,1e-05,1e-05,1e-05,1.9e-05,0.999921,1e-05,1e-05
"26",40.9064,-73.1493,1e-05,1.9e-05,1e-05,1e-05,1e-05,0.999921,1e-05,1e-05
"27",40.9352,-73.114,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05
"28",40.9352,-73.114,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05
"29",42.3,74.3667,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993
"30",42.1833,73.4,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993
"31",42.5833,73.6333,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993
"32",42.8,76.35,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993
"33",37.35,72.4667,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993
"34",37.9169,-84.4639,0.23794,0.483978,0.036766,0.031864,0.132862,0.074548,1e-05,0.002031
"35",41.7976,-86.6691,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05
"36",41.7976,-86.6691,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05
"37",41.8266,-86.4366,1e-05,1.1e-05,1e-05,1e-05,1e-05,0.999929,1e-05,1e-05
"38",41.8266,-86.4366,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05
"39",41.8266,-86.4366,1e-05,0.362133,1e-05,1e-05,1e-05,0.637807,1e-05,1e-05
"40",41.8972,-71.4378,0.038544,0.338711,0.013539,1e-05,0.6005,0.008676,1e-05,1e-05
"41",42.3634,-71.1445,1e-05,0.775812,1e-05,1e-05,1e-05,0.224128,1e-05,1e-05
"42",55.3833,14.05,0.750713,0.197096,1e-05,0.04175,0.010155,0.000257,1e-05,1e-05
"43",55.3833,14.05,0.789144,0.027957,1e-05,0.028466,0.1486,0.005803,1e-05,1e-05
"44",55.3833,14.05,0.725196,0.094557,1e-05,0.065466,0.097623,0.017129,1e-05,1e-05
"45",55.3833,14.05,0.725239,0.005794,1e-05,0.059334,0.167381,0.042222,1e-05,1e-05
"46",55.3833,14.05,0.769074,0.142696,1e-05,0.068848,1e-05,0.019342,1e-05,1e-05
"47",55.7167,14.1333,0.664265,0.094948,1e-05,0.036334,0.181545,0.022878,1e-05,1e-05
"48",55.7167,14.1333,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
