"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",1e-05,0.116589,0.518458,1e-05,1e-05,0.364863,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"2",1e-05,0.038154,0.300716,1e-05,0.011542,0.649508,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"3",1e-05,0.014453,0.326183,1e-05,0.010381,0.648904,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"4",1e-05,1e-05,0.907078,1e-05,1e-05,0.092822,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"5",1e-05,0.20242,1e-05,1e-05,0.541489,0.200868,1e-05,0.038325,1e-05,1e-05,0.011154,0.005684
"6",1e-05,0.044645,0.758538,0.083249,1e-05,0.113452,1e-05,1e-05,1e-05,1e-05,1e-05,4.6e-05
"7",1e-05,0.043185,0.829426,1e-05,1e-05,0.1273,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"8",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05
"9",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05
"10",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05
"11",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05
"12",1e-05,1e-05,0.05143,1e-05,1e-05,1e-05,1e-05,1e-05,0.94847,1e-05,1e-05,1e-05
"13",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989
"14",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989
"15",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989
"16",1e-05,1e-05,1e-05,1e-05,1e-05,1.9e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999881
"17",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.8e-05,1e-05,0.999882
"18",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989
"19",1e-05,1e-05,1e-05,1e-05,1.5e-05,1e-05,1e-05,1e-05,1e-05,1.8e-05,1e-05,0.999877
"20",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989
"21",1e-05,1e-05,0.037541,1e-05,0.101638,0.662594,1e-05,1e-05,1e-05,0.112395,0.03839,0.047382
"22",1e-05,1e-05,0.347899,1e-05,0.121232,0.502594,1e-05,1e-05,1e-05,0.013388,1e-05,0.014817
"23",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.8e-05,1e-05,1e-05,1e-05,0.999882
"24",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989
"25",1e-05,1e-05,1e-05,1e-05,1.5e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999885
"26",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999889
"27",1e-05,1e-05,1e-05,1e-05,1.7e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999883
"28",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989
"29",0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"30",0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"31",0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"32",0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"33",0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"34",1e-05,1e-05,0.308651,0.051717,0.232853,0.173359,1e-05,1e-05,0.008022,0.157104,1e-05,0.068246
"35",1e-05,1e-05,1e-05,1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,1.8e-05,1e-05,0.999881
"36",1e-05,1e-05,1e-05,1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,1.8e-05,1e-05,0.999881
"37",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989
"38",1e-05,1e-05,1e-05,1e-05,1e-05,1.3e-05,1.7e-05,1.2e-05,1e-05,1e-05,1e-05,0.999878
"39",1e-05,1e-05,1e-05,1e-05,1e-05,0.36001,1e-05,1e-05,1e-05,1e-05,1e-05,0.63989
"40",1e-05,1e-05,0.906353,1e-05,0.024799,1e-05,1e-05,1e-05,0.068758,1e-05,1e-05,1e-05
"41",1e-05,1e-05,1e-05,1e-05,1e-05,0.751498,1e-05,1e-05,1e-05,1e-05,1e-05,0.248402
"42",1e-05,1e-05,1e-05,1e-05,0.047068,0.051519,1e-05,0.05991,1e-05,0.839845,0.001588,1e-05
"43",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.021709,1e-05,0.978191,1e-05,1e-05
"44",1e-05,1e-05,0.032677,1e-05,0.057144,0.01476,1e-05,1e-05,1e-05,0.84587,0.036164,0.013325
"45",1e-05,1e-05,1e-05,1e-05,0.027957,1e-05,1e-05,0.093508,1e-05,0.804399,0.034448,0.039619
"46",1e-05,1e-05,1e-05,1e-05,0.041095,0.006754,1e-05,1e-05,1e-05,0.906189,0.032716,0.013176
"47",1e-05,1e-05,1e-05,1e-05,0.010597,0.007976,1e-05,1e-05,1e-05,0.948772,0.001831,0.030753
"48",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.47622,1e-05,0.52368,1e-05,1e-05
"49",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1e-05,1e-05
"50",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.005205,0.994695,1e-05,1e-05
"51",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.994692,0.005208,1e-05
"52",1e-05,1e-05,1e-05,1e-05,0.264275,0.029293,1e-05,0.12545,1e-05,0.464992,0.092602,0.023328
"53",1e-05,1e-05,0.020232,1e-05,0.294615,1e-05,1e-05,0.120809,1e-05,0.445359,0.09936,0.019564
"54",1e-05,1e-05,1e-05,1e-05,0.633235,1e-05,1e-05,1e-05,0.038002,1e-05,0.328674,1e-05
"55",1e-05,1e-05,1e-05,1e-05,0.622631,1e-05,1e-05,1e-05,0.101599,1e-05,0.27568,1e-05
"56",1e-05,1e-05,1e-05,1e-05,0.641469,0.024223,1e-05,1e-05,0.037761,0.085323,0.196344,0.014821
"57",1e-05,1e-05,1e-05,1e-05,0.723007,1e-05,1e-05,1e-05,0.064682,1e-05,0.186127,0.026104
"58",0.046669,1e-05,1e-05,1e-05,0.014202,1e-05,1e-05,1e-05,1e-05,1e-05,0.939039,1e-05
"59",1e-05,1e-05,1e-05,1e-05,1.2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999888
"60",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989
