"","V1","V2","V3","V4","V5","V6","V7","V8","tg_ecotypeid","name","CS_number","country","latitude","longitude","collector","seq_by"
"1",1e-05,0.888993,1e-05,1.4e-05,0.101286,1e-05,0.009667,1e-05,88,"CYR","CS76790","FRA",47.4,0.683333,"Valerie Le Corre","Monsanto"
"2",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,108,"LDV-18","CS77013","FRA",48.5167,-4.06667,"Valerie Le Corre","Monsanto"
"3",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,139,"LDV-46","CS77014","FRA",48.5167,-4.06667,"Valerie Le Corre","Monsanto"
"4",1e-05,0.71695,1e-05,1e-05,0.28299,1e-05,1e-05,1e-05,159,"MAR2-3","CS77070","FRA",47.35,3.93333,"Valerie Le Corre","Monsanto"
"5",0.351254,0.437114,1e-05,0.130215,1e-05,0.008499,0.072888,1e-05,265,"PYL-6","CS77198","FRA",44.65,-1.16667,"Valerie Le Corre","Monsanto"
"6",1e-05,0.670174,0.093524,1e-05,0.219522,0.016741,1e-05,1e-05,350,"TOU-A1-88","CS77382","FRA",46.6667,4.11667,"Fabrice Roux","Monsanto"
"7",1e-05,0.78047,0.032335,1e-05,0.187146,1e-05,1e-05,1e-05,351,"TOU-A1-89","CS77383","FRA",46.6667,4.11667,"Fabrice Roux","Monsanto"
"8",1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,403,"Zdarec3","CS78873","CZE",49.3667,16.2667,"Marie-Theres Hauser","Monsanto"
"9",1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,410,"Doubravnik7","CS76808","CZE",49.4211,16.3497,"Marie-Theres Hauser","Monsanto"
"10",1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,424,"Draha2","CS76812","CZE",49.4112,16.2815,"Marie-Theres Hauser","Monsanto"
"11",1e-05,1e-05,1e-05,1e-05,0.98112,1e-05,1e-05,0.01882,428,"Borky1","CS76718","CZE",49.403,16.232,"Marie-Theres Hauser","Monsanto"
"12",0.018648,1e-05,1e-05,1e-05,0.981292,1e-05,1e-05,1e-05,430,"Gr-1","CS76496","AUT",47,15.5,"Albert Kranz","Salk"
"13",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,470,"BRR4","CS78943","USA",40.8313,-87.735,"Diane Byers","MPI"
"14",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,476,"BRR12","CS78944","USA",40.8313,-87.735,"Diane Byers","MPI"
"15",1e-05,1e-05,1.1e-05,1e-05,1e-05,0.999929,1e-05,1e-05,484,"BRR23","CS78945","USA",40.8313,-87.735,"Diane Byers","MPI"
"16",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,504,"BRR57","CS78946","USA",40.8313,-87.735,"Diane Byers","MPI"
"17",1.2e-05,1e-05,1e-05,1e-05,1e-05,0.999928,1e-05,1e-05,506,"BRR60","CS78947","USA",40.8313,-87.735,"Diane Byers","MPI"
"18",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,531,"BRR107","CS78948","USA",40.8313,-87.735,"Diane Byers","MPI"
"19",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,544,"LI-WP-039","CS78949","USA",40.9076,-73.2089,"Oliver Bossdorf","MPI"
"20",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,546,"LI-WP-041","CS78950","USA",40.9076,-73.2089,"Oliver Bossdorf","MPI"
"21",0.152519,0.756452,1e-05,0.042957,1e-05,0.048032,1e-05,1e-05,628,"LI-OF-061","CS78951","USA",40.7777,-72.9069,"Oliver Bossdorf","MPI"
"22",0.128441,0.861473,1e-05,1e-05,1e-05,0.010036,1e-05,1e-05,630,"LI-OF-065","CS77036","USA",40.7777,-72.9069,"Oliver Bossdorf","Monsanto"
"23",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,680,"LI-RR-096","CS78952","USA",40.9447,-72.8615,"Oliver Bossdorf","MPI"
"24",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,681,"LI-RR-097","CS78953","USA",40.9447,-72.8615,"Oliver Bossdorf","MPI"
"25",1e-05,1e-05,1e-05,1e-05,1.9e-05,0.999921,1e-05,1e-05,685,"LI-EF-011","CS78954","USA",40.9064,-73.1493,"Oliver Bossdorf","MPI"
"26",1e-05,1.9e-05,1e-05,1e-05,1e-05,0.999921,1e-05,1e-05,687,"LI-EF-018","CS78955","USA",40.9064,-73.1493,"Oliver Bossdorf","MPI"
"27",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,728,"LI-SET-019","CS78956","USA",40.9352,-73.114,"Oliver Bossdorf","MPI"
"28",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,742,"LI-SET-036","CS78957","USA",40.9352,-73.114,"Oliver Bossdorf","MPI"
"29",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,763,"Kar-1","CS76522","KGZ",42.3,74.3667,"Olivier Loudet","Salk"
"30",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,765,"Sus-1","CS76607","KGZ",42.1833,73.4,"Olivier Loudet","Salk"
"31",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,766,"Dja-1","CS76473","KGZ",42.5833,73.6333,"Olivier Loudet","Salk"
"32",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,768,"Zal-1","CS76634","KGZ",42.8,76.35,"Olivier Loudet","Salk"
"33",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,772,"Neo-6","CS76560","TJK",37.35,72.4667,"Olivier Loudet","Salk"
"34",0.23794,0.483978,0.036766,0.031864,0.132862,0.074548,1e-05,0.002031,801,"KYC-33","CS76992","USA",37.9169,-84.4639,"Kathleen Donohue","Monsanto"
"35",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,853,"MIA-1","CS78958","USA",41.7976,-86.6691,"Kathleen Donohue","MPI"
"36",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,854,"MIA-5","CS78959","USA",41.7976,-86.6691,"Kathleen Donohue","MPI"
"37",1e-05,1.1e-05,1e-05,1e-05,1e-05,0.999929,1e-05,1e-05,867,"MIC-20","CS78960","USA",41.8266,-86.4366,"Kathleen Donohue","MPI"
"38",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,868,"MIC-24","CS78961","USA",41.8266,-86.4366,"Kathleen Donohue","MPI"
"39",1e-05,0.362133,1e-05,1e-05,1e-05,0.637807,1e-05,1e-05,870,"MIC-31","CS77082","USA",41.8266,-86.4366,"Kathleen Donohue","Monsanto"
"40",0.038544,0.338711,0.013539,1e-05,0.6005,0.008676,1e-05,1e-05,915,"LIN S-5","CS77040","USA",41.8972,-71.4378,"Kathleen Donohue","Monsanto"
"41",1e-05,0.775812,1e-05,1e-05,1e-05,0.224128,1e-05,1e-05,932,"CHA-41","CS76765","USA",42.3634,-71.1445,"Kathleen Donohue","Monsanto"
"42",0.750713,0.197096,1e-05,0.04175,0.010155,0.000257,1e-05,1e-05,991,"Ale-Stenar-41-1","CS76651","SWE",55.3833,14.05,"Jon Ågren","GMI"
"43",0.789144,0.027957,1e-05,0.028466,0.1486,0.005803,1e-05,1e-05,992,"Ale-Stenar-44-4","CS76652","SWE",55.3833,14.05,"Jon Ågren","GMI"
"44",0.725196,0.094557,1e-05,0.065466,0.097623,0.017129,1e-05,1e-05,997,"Ale-Stenar-56-14","CS76653","SWE",55.3833,14.05,"Jon Ågren","GMI"
"45",0.725239,0.005794,1e-05,0.059334,0.167381,0.042222,1e-05,1e-05,1002,"Ale-Stenar-64-24","CS76654","SWE",55.3833,14.05,"Jon Ågren","GMI"
"46",0.769074,0.142696,1e-05,0.068848,1e-05,0.019342,1e-05,1e-05,1006,"Ale-Stenar-77-31","CS77636","SWE",55.3833,14.05,"Jon Ågren","GMI"
"47",0.664265,0.094948,1e-05,0.036334,0.181545,0.022878,1e-05,1e-05,1061,"Brösarp-11-135","CS76727","SWE",55.7167,14.1333,"Jon Ågren","GMI"
"48",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1062,"Brösarp-15-138","CS76728","SWE",55.7167,14.1333,"Jon Ågren","GMI"
"49",0.661768,0.050288,1e-05,1e-05,0.287894,1e-05,1e-05,1e-05,1063,"Brösarp-21-140","CS76729","SWE",55.7167,14.1333,"Jon Ågren","GMI"
"50",0.73375,0.002047,1e-05,0.015346,0.24849,0.000337,1e-05,1e-05,1066,"Brösarp-34-145","CS76730","SWE",55.7167,14.1333,"Jon Ågren","GMI"
"51",0.690388,0.014262,1e-05,0.018481,0.276828,1e-05,1e-05,1e-05,1070,"Brösarp-45-153","CS77643","SWE",55.7167,14.1333,"Jon Ågren","GMI"
"52",0.543756,0.118835,1e-05,0.160068,0.147901,0.022575,1e-05,0.006846,1158,"Aledal-6-49","CS76656","SWE",56.7,16.5167,"Jon Ågren","GMI"
"53",0.506124,0.091575,1e-05,0.188145,0.198906,0.015221,1e-05,1e-05,1166,"Aledal-14-73","CS77651","SWE",56.7,16.5167,"Jon Ågren","GMI"
"54",0.253203,0.039396,1e-05,0.630701,0.076661,1e-05,1e-05,1e-05,1254,"Tos-82-387","CS77379","SWE",59.4333,17.0167,"Jon Ågren","GMI"
"55",0.281836,0.03763,1e-05,0.547341,0.133154,1e-05,1e-05,1e-05,1257,"Tos-95-393","CS77380","SWE",59.4333,17.0167,"Jon Ågren","GMI"
"56",0.338245,0.066866,1.5e-05,0.442959,0.109727,0.042169,1e-05,1e-05,1313,"Ängsö-59-422","CS77658","SWE",59.5667,16.8667,"Jon Ågren","GMI"
"57",0.345873,0.011531,0.001692,0.452429,0.117459,0.040925,0.008021,0.02207,1317,"Ängsö-74-430","CS76665","SWE",59.5667,16.8667,"Jon Ågren","GMI"
"58",1e-05,1e-05,1e-05,0.960296,1e-05,1e-05,1e-05,0.039644,1552,"Sku-30","CS77251","SWE",63.0833,18.3667,"Jon Ågren","GMI"
"59",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1612,"Brn-10","CS78962","USA",41.9,-86.583,"Diane Byers","MPI"
"60",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1622,"Brn-24","CS78963","USA",41.9,-86.583,"Diane Byers","MPI"
"61",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1651,"DuckLkSP38","CS78964","USA",43.3431,-86.4045,"Diane Byers","MPI"
"62",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1652,"DuckLkSP40","CS78965","USA",43.3431,-86.4045,"Diane Byers","MPI"
"63",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1676,"Haz-2","CS78966","USA",41.879,-86.607,"Diane Byers","MPI"
"64",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1684,"Haz-10","CS78967","USA",41.879,-86.607,"Diane Byers","MPI"
"65",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1739,"KBS-Mac-68","CS78968","USA",42.405,-85.398,"Diane Byers","MPI"
"66",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1741,"KBS-Mac-74","CS78969","USA",42.405,-85.398,"Diane Byers","MPI"
"67",1e-05,1e-05,1.4e-05,1e-05,1e-05,0.999926,1e-05,1e-05,1756,"Ker-4","CS78970","USA",42.184,-86.358,"Diane Byers","MPI"
"68",1e-05,1e-05,1.6e-05,1e-05,1.6e-05,0.999918,1e-05,1e-05,1757,"Ker-5","CS78971","USA",42.184,-86.358,"Diane Byers","MPI"
"69",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1793,"L-R-5","CS78972","USA",41.847,-86.67,"Diane Byers","MPI"
"70",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1797,"L-R-10","CS78973","USA",41.847,-86.67,"Diane Byers","MPI"
"71",1e-05,1.2e-05,1e-05,1e-05,1e-05,0.999928,1e-05,1e-05,1819,"Lak-12","CS78974","USA",41.8,-86.67,"Diane Byers","MPI"
"72",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1820,"Lak-13","CS78975","USA",41.8,-86.67,"Diane Byers","MPI"
"73",0.026175,0.297437,1e-05,1e-05,0.145157,0.531191,1e-05,1e-05,1829,"Mdn-1","CS77077","USA",42.051,-86.509,"Diane Byers","Monsanto"
"74",1e-05,1e-05,1e-05,1e-05,2e-05,0.99992,1e-05,1e-05,1834,"Mdn-8","CS78976","USA",42.051,-86.509,"Diane Byers","MPI"
"75",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1835,"Mdn-10","CS78977","USA",42.051,-86.509,"Diane Byers","MPI"
"76",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1851,"MNF-Pot-10","CS78978","USA",43.595,-86.2657,"Diane Byers","MPI"
"77",1e-05,0.032393,1e-05,1e-05,0.047389,0.920168,1e-05,1e-05,1852,"MNF-Pot-15","CS78979","USA",43.595,-86.2657,"Diane Byers","MPI"
"78",0.002164,0.265398,1e-05,1e-05,1e-05,0.718888,1e-05,0.01351,1853,"MNF-Pot-21","CS77099","USA",43.595,-86.2657,"Diane Byers","Monsanto"
"79",1e-05,0.224768,1e-05,0.008422,0.099525,0.66694,0.000315,1e-05,1872,"MNF-Pot-75","CS77100","USA",43.595,-86.2657,"Diane Byers","Monsanto"
"80",1e-05,1e-05,1e-05,1e-05,0.052068,1e-05,1e-05,0.947872,1890,"MNF-Riv-21","CS77101","USA",43.5139,-86.1859,"Diane Byers","Monsanto"
"81",0.013761,0.080837,1e-05,0.016146,0.288921,0.46801,1e-05,0.132305,1925,"MNF-Che-2","CS77096","USA",43.5251,-86.1843,"Diane Byers","Monsanto"
"82",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1942,"MNF-Che-47","CS78980","USA",43.5251,-86.1843,"Diane Byers","MPI"
"83",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1943,"MNF-Che-49","CS78981","USA",43.5251,-86.1843,"Diane Byers","MPI"
"84",0.030333,0.168502,0.005003,1e-05,0.264526,0.449299,1e-05,0.082317,1954,"MNF-Jac-12","CS77097","USA",43.5187,-86.1739,"Diane Byers","Monsanto"
"85",0.140573,0.261155,0.039881,0.008369,0.340673,0.008343,1e-05,0.200997,2016,"MNF-Pin-39","CS77098","USA",43.5356,-86.1788,"Diane Byers","Monsanto"
"86",1e-05,1.2e-05,1e-05,1e-05,1e-05,0.999928,1e-05,1e-05,2017,"MNF-Pin-40","CS78982","USA",43.5356,-86.1788,"Diane Byers","MPI"
"87",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,2031,"Map-8","CS78983","USA",42.166,-86.412,"Diane Byers","MPI"
"88",1e-05,1e-05,1e-05,1e-05,1.6e-05,0.999924,1e-05,1e-05,2053,"Map-35","CS78984","USA",42.166,-86.412,"Diane Byers","MPI"
"89",1e-05,0.252676,1e-05,1e-05,1e-05,0.747264,1e-05,1e-05,2057,"Map-42","CS77732","USA",42.166,-86.412,"Diane Byers","MPI"
"90",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,2081,"MuskSP-68","CS78985","USA",43.2483,-86.3368,"Diane Byers","MPI"
"91",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,2091,"MuskSP-83","CS78986","USA",43.2483,-86.3368,"Diane Byers","MPI"
"92",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,2106,"MSGA-10","CS78987","USA",43.2749,-86.0891,"Diane Byers","MPI"
"93",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,2108,"MSGA-12","CS78988","USA",43.2749,-86.0891,"Diane Byers","MPI"
"94",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,2141,"MSGA-61","CS78989","USA",43.2749,-86.0891,"Diane Byers","MPI"
"95",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,2159,"Paw-13","CS78990","USA",42.148,-86.431,"Diane Byers","MPI"
"96",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,2166,"Paw-20","CS78991","USA",42.148,-86.431,"Diane Byers","MPI"
"97",0.042884,0.505853,1e-05,0.016058,0.31786,0.117314,1e-05,1e-05,2171,"Paw-26","CS77164","USA",42.148,-86.431,"Diane Byers","Monsanto"
"98",1e-05,1e-05,1.6e-05,1e-05,1e-05,0.999924,1e-05,1e-05,2191,"Pent-7","CS78992","USA",43.7623,-86.3929,"Diane Byers","MPI"
"99",0.055666,1e-05,1e-05,0.010828,0.560388,0.024597,1e-05,0.348492,2202,"Pent-23","CS77168","USA",43.7623,-86.3929,"Diane Byers","Monsanto"
"100",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,2212,"Pent-46","CS78993","USA",43.7623,-86.3929,"Diane Byers","MPI"
"101",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,2239,"Riv-25","CS78994","USA",42.184,-86.382,"Diane Byers","MPI"
"102",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,2240,"Riv-26","CS78995","USA",42.184,-86.382,"Diane Byers","MPI"
"103",1e-05,0.672197,1e-05,1e-05,1e-05,0.327743,1e-05,1e-05,2276,"SLSP-31","CS77254","USA",43.665,-86.496,"Diane Byers","Monsanto"
"104",1e-05,0.457153,1e-05,1e-05,1e-05,0.542787,1e-05,1e-05,2278,"SLSP-35","CS77255","USA",43.665,-86.496,"Diane Byers","Monsanto"
"105",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,2285,"SLSP-69","CS78996","USA",43.665,-86.496,"Diane Byers","MPI"
"106",1e-05,1.4e-05,1e-05,1e-05,1e-05,0.999926,1e-05,1e-05,2286,"SLSP-67","CS78997","USA",43.665,-86.496,"Diane Byers","MPI"
"107",1e-05,0.841921,1e-05,1e-05,0.144601,0.013428,1e-05,1e-05,2317,"Ste-40","CS77278","USA",42.03,-86.514,"Diane Byers","Monsanto"
"108",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,2370,"Yng-4","CS78998","USA",41.865,-86.646,"Diane Byers","MPI"
"109",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,2412,"Yng-53","CS78999","USA",41.865,-86.646,"Diane Byers","MPI"
"110",1e-05,0.934548,1e-05,0.046432,1e-05,0.01897,1e-05,1e-05,4779,"UKSW06-179","CS78808","UK",50.4,-4.9,"Eric Holub","Monsanto"
"111",0.184265,0.72753,1e-05,0.004264,1e-05,0.046551,1e-05,0.037361,4807,"UKSW06-207","CS78809","UK",50.4,-4.9,"Eric Holub","Monsanto"
"112",1e-05,0.993433,1e-05,0.006507,1e-05,1e-05,1e-05,1e-05,4826,"UKSW06-226","CS78810","UK",50.4,-4.9,"Eric Holub","Monsanto"
"113",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,4840,"UKSW06-240","CS79000","UK",50.4,-4.9,"Eric Holub","MPI"
"114",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,4857,"UKSW06-257","CS79001","UK",50.3,-4.9,"Eric Holub","MPI"
"115",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,4884,"UKSW06-285","CS78811","UK",50.3,-4.9,"Eric Holub","Monsanto"
"116",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,4900,"UKSW06-302","CS78812","UK",50.3,-4.8,"Eric Holub","Monsanto"
"117",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,4939,"UKSW06-341","CS79002","UK",50.4,-4.7,"Eric Holub","MPI"
"118",0.121173,0.790181,1e-05,0.030315,1e-05,0.011026,0.010503,0.036782,4958,"UKSW06-360","CS78814","UK",50.5,-4.5,"Eric Holub","Monsanto"
"119",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5023,"UKSE06-118","CS78799","UK",51.3,0.5,"Eric Holub","Monsanto"
"120",0.094627,0.232969,1e-05,1e-05,0.600506,0.001929,1e-05,0.069938,5104,"UKSE06-252","CS78800","UK",51.3,0.5,"Eric Holub","Monsanto"
"121",0.151117,0.709574,1e-05,0.057107,0.013208,0.06484,0.004134,1e-05,5151,"UKSE06-325","CS78801","UK",52.2,-1.7,"Eric Holub","Monsanto"
