"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","tg_ecotypeid","latitude","longitude"
"1",1e-05,0.116589,0.518458,1e-05,1e-05,0.364863,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,88,47.4,0.683333
"2",1e-05,0.038154,0.300716,1e-05,0.011542,0.649508,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,108,48.5167,-4.06667
"3",1e-05,0.014453,0.326183,1e-05,0.010381,0.648904,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,139,48.5167,-4.06667
"4",1e-05,1e-05,0.907078,1e-05,1e-05,0.092822,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,159,47.35,3.93333
"5",1e-05,0.20242,1e-05,1e-05,0.541489,0.200868,1e-05,0.038325,1e-05,1e-05,0.011154,0.005684,265,44.65,-1.16667
"6",1e-05,0.044645,0.758538,0.083249,1e-05,0.113452,1e-05,1e-05,1e-05,1e-05,1e-05,4.6e-05,350,46.6667,4.11667
"7",1e-05,0.043185,0.829426,1e-05,1e-05,0.1273,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,351,46.6667,4.11667
"8",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,403,49.3667,16.2667
"9",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,410,49.4211,16.3497
"10",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,424,49.4112,16.2815
"11",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,428,49.403,16.232
"12",1e-05,1e-05,0.05143,1e-05,1e-05,1e-05,1e-05,1e-05,0.94847,1e-05,1e-05,1e-05,430,47,15.5
"13",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,470,40.8313,-87.735
"14",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,476,40.8313,-87.735
"15",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,484,40.8313,-87.735
"16",1e-05,1e-05,1e-05,1e-05,1e-05,1.9e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999881,504,40.8313,-87.735
"17",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.8e-05,1e-05,0.999882,506,40.8313,-87.735
"18",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,531,40.8313,-87.735
"19",1e-05,1e-05,1e-05,1e-05,1.5e-05,1e-05,1e-05,1e-05,1e-05,1.8e-05,1e-05,0.999877,544,40.9076,-73.2089
"20",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,546,40.9076,-73.2089
"21",1e-05,1e-05,0.037541,1e-05,0.101638,0.662594,1e-05,1e-05,1e-05,0.112395,0.03839,0.047382,628,40.7777,-72.9069
"22",1e-05,1e-05,0.347899,1e-05,0.121232,0.502594,1e-05,1e-05,1e-05,0.013388,1e-05,0.014817,630,40.7777,-72.9069
"23",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.8e-05,1e-05,1e-05,1e-05,0.999882,680,40.9447,-72.8615
"24",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,681,40.9447,-72.8615
"25",1e-05,1e-05,1e-05,1e-05,1.5e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999885,685,40.9064,-73.1493
"26",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999889,687,40.9064,-73.1493
"27",1e-05,1e-05,1e-05,1e-05,1.7e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999883,728,40.9352,-73.114
"28",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,742,40.9352,-73.114
"29",0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,763,42.3,74.3667
"30",0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,765,42.1833,73.4
"31",0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,766,42.5833,73.6333
"32",0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,768,42.8,76.35
"33",0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,772,37.35,72.4667
"34",1e-05,1e-05,0.308651,0.051717,0.232853,0.173359,1e-05,1e-05,0.008022,0.157104,1e-05,0.068246,801,37.9169,-84.4639
"35",1e-05,1e-05,1e-05,1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,1.8e-05,1e-05,0.999881,853,41.7976,-86.6691
"36",1e-05,1e-05,1e-05,1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,1.8e-05,1e-05,0.999881,854,41.7976,-86.6691
"37",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,867,41.8266,-86.4366
"38",1e-05,1e-05,1e-05,1e-05,1e-05,1.3e-05,1.7e-05,1.2e-05,1e-05,1e-05,1e-05,0.999878,868,41.8266,-86.4366
"39",1e-05,1e-05,1e-05,1e-05,1e-05,0.36001,1e-05,1e-05,1e-05,1e-05,1e-05,0.63989,870,41.8266,-86.4366
"40",1e-05,1e-05,0.906353,1e-05,0.024799,1e-05,1e-05,1e-05,0.068758,1e-05,1e-05,1e-05,915,41.8972,-71.4378
"41",1e-05,1e-05,1e-05,1e-05,1e-05,0.751498,1e-05,1e-05,1e-05,1e-05,1e-05,0.248402,932,42.3634,-71.1445
"42",1e-05,1e-05,1e-05,1e-05,0.047068,0.051519,1e-05,0.05991,1e-05,0.839845,0.001588,1e-05,991,55.3833,14.05
"43",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.021709,1e-05,0.978191,1e-05,1e-05,992,55.3833,14.05
"44",1e-05,1e-05,0.032677,1e-05,0.057144,0.01476,1e-05,1e-05,1e-05,0.84587,0.036164,0.013325,997,55.3833,14.05
"45",1e-05,1e-05,1e-05,1e-05,0.027957,1e-05,1e-05,0.093508,1e-05,0.804399,0.034448,0.039619,1002,55.3833,14.05
"46",1e-05,1e-05,1e-05,1e-05,0.041095,0.006754,1e-05,1e-05,1e-05,0.906189,0.032716,0.013176,1006,55.3833,14.05
"47",1e-05,1e-05,1e-05,1e-05,0.010597,0.007976,1e-05,1e-05,1e-05,0.948772,0.001831,0.030753,1061,55.7167,14.1333
"48",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.47622,1e-05,0.52368,1e-05,1e-05,1062,55.7167,14.1333
"49",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1063,55.7167,14.1333
"50",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.005205,0.994695,1e-05,1e-05,1066,55.7167,14.1333
"51",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.994692,0.005208,1e-05,1070,55.7167,14.1333
"52",1e-05,1e-05,1e-05,1e-05,0.264275,0.029293,1e-05,0.12545,1e-05,0.464992,0.092602,0.023328,1158,56.7,16.5167
"53",1e-05,1e-05,0.020232,1e-05,0.294615,1e-05,1e-05,0.120809,1e-05,0.445359,0.09936,0.019564,1166,56.7,16.5167
"54",1e-05,1e-05,1e-05,1e-05,0.633235,1e-05,1e-05,1e-05,0.038002,1e-05,0.328674,1e-05,1254,59.4333,17.0167
"55",1e-05,1e-05,1e-05,1e-05,0.622631,1e-05,1e-05,1e-05,0.101599,1e-05,0.27568,1e-05,1257,59.4333,17.0167
"56",1e-05,1e-05,1e-05,1e-05,0.641469,0.024223,1e-05,1e-05,0.037761,0.085323,0.196344,0.014821,1313,59.5667,16.8667
"57",1e-05,1e-05,1e-05,1e-05,0.723007,1e-05,1e-05,1e-05,0.064682,1e-05,0.186127,0.026104,1317,59.5667,16.8667
"58",0.046669,1e-05,1e-05,1e-05,0.014202,1e-05,1e-05,1e-05,1e-05,1e-05,0.939039,1e-05,1552,63.0833,18.3667
"59",1e-05,1e-05,1e-05,1e-05,1.2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999888,1612,41.9,-86.583
"60",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1622,41.9,-86.583
"61",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.1e-05,1e-05,0.999889,1651,43.3431,-86.4045
"62",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.8e-05,1e-05,0.999882,1652,43.3431,-86.4045
"63",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1676,41.879,-86.607
"64",1e-05,1e-05,1e-05,1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999889,1684,41.879,-86.607
"65",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1739,42.405,-85.398
"66",1e-05,1e-05,1e-05,1e-05,1e-05,1.9e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999881,1741,42.405,-85.398
"67",1e-05,1e-05,1e-05,1e-05,1e-05,1.6e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999884,1756,42.184,-86.358
"68",1e-05,1e-05,1e-05,1e-05,1e-05,1.6e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999884,1757,42.184,-86.358
"69",1e-05,1e-05,1e-05,1e-05,1.5e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999885,1793,41.847,-86.67
"70",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1797,41.847,-86.67
"71",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.1e-05,1e-05,1e-05,1.2e-05,1e-05,0.999887,1819,41.8,-86.67
"72",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1820,41.8,-86.67
"73",1e-05,1e-05,1e-05,1e-05,0.026462,0.279143,1e-05,1e-05,0.163403,1e-05,1e-05,0.530912,1829,42.051,-86.509
"74",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.8e-05,1e-05,0.999882,1834,42.051,-86.509
"75",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1835,42.051,-86.509
"76",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.4e-05,1e-05,1e-05,1e-05,0.999886,1851,43.595,-86.2657
"77",1e-05,1e-05,0.013869,1e-05,1e-05,0.000488,1e-05,1e-05,0.063258,1e-05,1e-05,0.922304,1852,43.595,-86.2657
"78",1e-05,1e-05,1e-05,1e-05,1e-05,0.220092,1e-05,0.027198,0.025906,1e-05,1e-05,0.726724,1853,43.595,-86.2657
"79",1e-05,0.015885,0.225745,1e-05,0.011089,0.077946,1e-05,1e-05,1e-05,1e-05,0.003628,0.665646,1872,43.595,-86.2657
"80",0.935945,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.063955,1e-05,1e-05,1e-05,1890,43.5139,-86.1859
"81",0.083355,1e-05,1e-05,1e-05,1e-05,0.049755,1e-05,1e-05,0.391027,1e-05,0.013308,0.462485,1925,43.5251,-86.1843
"82",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1942,43.5251,-86.1843
"83",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1943,43.5251,-86.1843
"84",0.048435,0.02087,0.043157,1e-05,1e-05,0.077101,1e-05,1e-05,0.327301,0.035509,1e-05,0.447577,1954,43.5187,-86.1739
"85",0.121796,0.034218,0.211295,0.028168,1e-05,0.118806,1e-05,0.003358,0.34991,0.129097,1e-05,0.003322,2016,43.5356,-86.1788
"86",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.2e-05,1e-05,0.999888,2017,43.5356,-86.1788
