"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","tg_ecotypeid","latitude","longitude"
"1",1e-05,1e-05,0.233879,1e-05,1e-05,0.029824,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.736127,1e-05,1e-05,1e-05,88,47.4,0.683333
"2",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999802,1e-05,1.8e-05,1e-05,108,48.5167,-4.06667
"3",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999808,1e-05,1.2e-05,1e-05,139,48.5167,-4.06667
"4",1e-05,0.109135,0.593703,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.291565,1e-05,0.005437,1e-05,159,47.35,3.93333
"5",0.051166,1e-05,0.161565,1e-05,0.292633,0.101329,0.017988,1e-05,1e-05,0.009288,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.365903,1e-05,1e-05,1e-05,265,44.65,-1.16667
"6",1e-05,0.221316,0.180721,1e-05,1e-05,0.007469,1e-05,1e-05,1e-05,1e-05,0.000825,1e-05,1e-05,1e-05,1e-05,1e-05,0.589519,1e-05,1e-05,1e-05,350,46.6667,4.11667
"7",1e-05,0.276121,0.100571,1e-05,1e-05,0.022734,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.600413,1e-05,1e-05,1e-05,351,46.6667,4.11667
"8",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,403,49.3667,16.2667
"9",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,410,49.4211,16.3497
"10",1e-05,1e-05,1.6e-05,1e-05,1e-05,1e-05,1e-05,0.999804,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,424,49.4112,16.2815
"11",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,428,49.403,16.232
"12",0.016682,1e-05,0.047288,1e-05,1e-05,1e-05,1e-05,0.935852,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.8e-05,1e-05,1e-05,1e-05,1e-05,1e-05,430,47,15.5
"13",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.2e-05,1e-05,1e-05,0.999808,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,470,40.8313,-87.735
