"","tg_ecotypeid","longitude","latitude","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","solar_min","solar_max","solar_mean","wind_min","wind_max","wind_mean","vapr_min","vapr_max","vapr_mean","excess_salts","nutrient_availability","nutrient_retention_capacity","oxygen_availability","rooting_conditions","toxicity","workability"
"1",88,0.683333,47.4,115,90,37,5535,251,9,242,53,186,186,44,669,66,47,11,190,145,145,181,2897,20310,11762.8333333333,3.40700006484985,4.54299974441528,4.00599998235703,0.730700016021729,1.5217000246048,1.07364167273045,2,2,2,2,2,2,2
"2",108,-4.06667,48.5167,108,63,37,3830,199,31,168,69,155,158,60,1049,134,47,31,377,162,189,363,2787,19635,11185.1666666667,4.16799974441528,5.92799997329712,5.11399992307027,0.809700012207031,1.54429996013641,1.11707498629888,1,1,1,1,1,1,1
"3",139,-4.06667,48.5167,108,63,37,3830,199,31,168,69,155,158,60,1049,134,47,31,377,162,189,363,2787,19635,11185.1666666667,4.16799974441528,5.92799997329712,5.11399992307027,0.809700012207031,1.54429996013641,1.11707498629888,1,1,1,1,1,1,1
"4",159,3.93333,47.35,100,83,34,5862,233,-11,244,34,62,174,23,804,79,54,12,218,173,209,210,2913,20683,11818.0833333333,2.7409999370575,3.94000005722046,3.38516666491826,0.613499999046326,1.46650004386902,0.980216667056084,1,2,2,1,2,1,2
"5",265,-1.16667,44.65,129,92,40,4895,251,26,225,75,191,191,66,1105,130,57,23,362,207,235,334,3982,21779,12985,3.32400012016296,4.31599998474121,3.86383334795634,0.843400001525879,1.82780003547668,1.25866666932901,0,0,0,0,0,0,0
"6",350,4.11667,46.6667,107,84,33,6049,244,-7,251,184,68,184,27,764,82,50,16,217,153,217,171,3043,21176,12037.3333333333,2.61800003051758,3.64499998092651,3.13508333762487,0.63019996881485,1.53310000896454,1.01200000445048,1,2,2,1,2,1,2
"7",351,4.11667,46.6667,107,84,33,6049,244,-7,251,184,68,184,27,764,82,50,16,217,153,217,171,3043,21176,12037.3333333333,2.61800003051758,3.64499998092651,3.13508333762487,0.63019996881485,1.53310000896454,1.01200000445048,1,2,2,1,2,1,2
"8",403,16.2667,49.3667,76,87,30,7068,227,-57,284,164,-4,164,-18,601,85,28,40,241,89,241,92,2268,19769,10953.8333333333,3.07399988174438,4.17000007629395,3.66283333301544,0.446899980306625,1.35290002822876,0.855758339166641,1,1,1,1,2,1,3
"9",410,16.3497,49.4211,72,85,30,6994,220,-60,280,158,-8,158,-21,622,88,29,41,251,91,251,95,2269,19718,10934.75,3.23200011253357,4.44000005722046,3.91858333349228,0.440299987792969,1.32410001754761,0.838233319421609,2,1,1,1,3,1,3
"10",424,16.2815,49.4112,76,87,30,7068,227,-57,284,164,-4,164,-18,601,85,28,40,241,89,241,92,2268,19769,10953.8333333333,3.07399988174438,4.17000007629395,3.66283333301544,0.446899980306625,1.35290002822876,0.855758339166641,1,1,1,1,2,1,3
"11",428,16.232,49.403,71,85,30,6985,220,-60,280,158,-8,158,-21,637,89,31,39,254,96,254,100,2299,19766,10945.4166666667,3.25200009346008,4.4370002746582,3.91000000635783,0.438100010156631,1.32790005207062,0.836050016184648,1,2,2,1,2,1,2
"12",430,15.5,47,84,100,31,7580,249,-67,316,179,-17,179,-17,882,124,33,41,355,114,355,114,3122,19995,11659.4166666667,1.41699993610382,2.29399991035461,1.79058334231377,0.451599985361099,1.55260002613068,0.941733332971732,1,2,1,1,1,1,2
"13",470,-87.735,40.8313,98,115,29,9960,292,-104,396,200,-38,220,-38,966,104,41,26,310,151,298,151,4779,21829,13446.6666666667,2.79999995231628,4.90000009536743,3.99183332920074,0.389999985694885,2.09959983825684,1.08944165458282,1,1,1,2,1,1,1
"14",476,-87.735,40.8313,98,115,29,9960,292,-104,396,200,-38,220,-38,966,104,41,26,310,151,298,151,4779,21829,13446.6666666667,2.79999995231628,4.90000009536743,3.99183332920074,0.389999985694885,2.09959983825684,1.08944165458282,1,1,1,2,1,1,1
"15",484,-87.735,40.8313,98,115,29,9960,292,-104,396,200,-38,220,-38,966,104,41,26,310,151,298,151,4779,21829,13446.6666666667,2.79999995231628,4.90000009536743,3.99183332920074,0.389999985694885,2.09959983825684,1.08944165458282,1,1,1,2,1,1,1
"16",504,-87.735,40.8313,98,115,29,9960,292,-104,396,200,-38,220,-38,966,104,41,26,310,151,298,151,4779,21829,13446.6666666667,2.79999995231628,4.90000009536743,3.99183332920074,0.389999985694885,2.09959983825684,1.08944165458282,1,1,1,2,1,1,1
"17",506,-87.735,40.8313,98,115,29,9960,292,-104,396,200,-38,220,-38,966,104,41,26,310,151,298,151,4779,21829,13446.6666666667,2.79999995231628,4.90000009536743,3.99183332920074,0.389999985694885,2.09959983825684,1.08944165458282,1,1,1,2,1,1,1
"18",531,-87.735,40.8313,98,115,29,9960,292,-104,396,200,-38,220,-38,966,104,41,26,310,151,298,151,4779,21829,13446.6666666667,2.79999995231628,4.90000009536743,3.99183332920074,0.389999985694885,2.09959983825684,1.08944165458282,1,1,1,2,1,1,1
"19",544,-73.2089,40.9076,110,96,29,8378,279,-51,330,93,2,217,2,1151,107,83,8,311,274,287,274,5595,21203,13644.1666666667,3.63295459747314,5.11704540252686,4.46060611804326,0.400000005960464,2.0359091758728,1.06964960694313,1,3,2,1,1,1,1
"20",546,-73.2089,40.9076,110,96,29,8378,279,-51,330,93,2,217,2,1151,107,83,8,311,274,287,274,5595,21203,13644.1666666667,3.63295459747314,5.11704540252686,4.46060611804326,0.400000005960464,2.0359091758728,1.06964960694313,1,3,2,1,1,1,1
"21",628,-72.9069,40.7777,110,95,29,8240,275,-49,324,29,189,215,4,1148,108,85,9,307,265,278,290,5634,21194,13704.25,3.70000004768372,5.23333311080933,4.57455193996429,0.422580629587173,2.07118272781372,1.09183690200249,1,3,2,1,1,1,1
"22",630,-72.9069,40.7777,110,95,29,8240,275,-49,324,29,189,215,4,1148,108,85,9,307,265,278,290,5634,21194,13704.25,3.70000004768372,5.23333311080933,4.57455193996429,0.422580629587173,2.07118272781372,1.09183690200249,1,3,2,1,1,1,1
"23",680,-72.8615,40.9447,108,96,29,8329,276,-53,329,26,188,214,0,1147,107,86,8,305,267,276,286,5578,21245,13675.3333333333,3.64333319664001,5.14999961853027,4.47944442431132,0.40883332490921,2.03733325004578,1.06991666307052,0,0,0,0,0,0,0
"24",681,-72.8615,40.9447,108,96,29,8329,276,-53,329,26,188,214,0,1147,107,86,8,305,267,276,286,5578,21245,13675.3333333333,3.64333319664001,5.14999961853027,4.47944442431132,0.40883332490921,2.03733325004578,1.06991666307052,0,0,0,0,0,0,0
